park_code,Park_Name,State,Acres,Latitude,Longitude,trails,campgrounds,Weather,Direction,URL,activities
CHIS,Channel Islands National Park,CA,249561.0,34.01,-119.42,22.0,7.0,"In general, the islands have a Mediterranean climate year-round. Temperatures are relatively stable, with highs averaging in the mid-60s (°F) and lows in the low-50s. However, there are seasonal differences that visitors should take into consideration when visiting the park. In addition, visitors also should be aware that ocean and weather conditions vary considerably from day-to-day and island-to-island. For more information visit: http://www.nps.gov/chis/planyourvisit/weather.htm","While the mainland visitor center in Ventura is readily accessible by car or public transportation, the islands are only accessible by park concessionaire boats and planes or private boat. Advanced planning is highly recommended.",https://www.nps.gov/chis/index.htm,13.0
CONG,Congaree National Park,SC,26546.0,33.78,-80.78,7.0,0.0,"Check the forecast before getting on the road. Conditions can change rapidly within the park. Flooding can happen with little or no warning, so make sure to check water levels for Cedar Creek and the Congaree River.","From Interstate 77, Exit 5
At Exit 5 turn onto SC Hwy 48 East/Bluff Road. Following the brown and white ""Congaree National Park"" directional signs, travel approximately 8 miles on and then take a slight right onto Old Bluff Road. Follow Old Bluff Road for 4.5 miles to the park entrance sign, which will be on the right. Proceed one mile to the Harry Hampton Visitor Center. Parking lots will be on the right.",https://www.nps.gov/cong/index.htm,13.0
CRLA,Crater Lake National Park,OR,183224.0,42.94,-122.1,22.0,2.0,"Summers at Crater Lake are short but sunny. July, August, and September are your best bets for warm, dry weather. In May, June, and October, sunny days alternate with periods of rain and snow. Winters at Crater Lake are long and snowy. Storms from the Pacific Ocean dump an annual average of 43 feet (13 meters) of snow at Park Headquarters. The park's tremendous snowfall is a result of its position at the crest of the Cascade Mountains.","Much of the year, the park's North Entrance is closed to cars. The North Entrance Road closes for the season on November 1 (or earlier if there is significant snowfall) and tends to open in early June.  The park’s South Entrance is open year round. Winter travelers from Roseburg will need to take Route 138 east to Route 230 south to Route 62 east to the park's west entrance. Winter travels from Bend will take Route 97 south to Route 62 north and west to the park's south entrance.",https://www.nps.gov/crla/index.htm,17.0
CUVA,Cuyahoga Valley National Park,OH,32950.0,41.24,-81.55,50.0,1.0,"Spring's rain and warming temperatures bring new leaves on trees, blooming wildflowers, and visitors anxious get out on the trail. 

Summer temperatures range from 49 to 95 degrees F and can be humid. Dressing in layers is advisable. 

Fall temperatures can range from low 70s during the day to freezing during the night. Fall foliage often peaks in mid-October.

Winter weather conditions can rapidly change, due to the lake effect snow from Lake Erie. Temperatures vary from mid-30s to below zero.","Plane
Cleveland Hopkins International Airport and Akron-Canton Regional Airport offer many daily flights to the area. Car rentals are available at both airports.

Bus & Train
Bus stations are located in downtown Cleveland and Akron. The Amtrak station is in downtown Cleveland.

Car
The park is easily accessible by car from all directions. A good place to start your visit is at Boston Mill Visitor Center located at 6947 Riverview Road, Peninsula, Ohio 44264. (41° 15'45.3"" N) (81° 33'37.3"" W).",https://www.nps.gov/cuva/index.htm,12.0
DENA,Denali National Park and Preserve,AK,3372402.0,63.33,-150.5,,6.0,"Summer is typically cool and wet, with highs typically in the upper 50s to low 60s, and lows in the 40s. On occasion, summer highs reach the low 80s, though this is rare. Snow can fall any month of the year, so be prepared for chilly weather even in summer.

Fall colors emerge on the alpine tundra in August and in the low valleys in early September. Winter generally starts in mid-September, with temps often getting down to -40 by January. Spring is a short season in April / May, with highs above freezing.","You can drive to Denali from Anchorage or Fairbanks, along Highway 3, which is known as the ""George Parks Highway."" Fairbanks is about 2 hours north, while Anchorage is 5 hours south of the Denali entrance. 

You can also reach Denali from either city via the Alaska Railroad, which is operated by the State of Alaska. A small private airstrip is also available near the park entrance for individuals wishing to fly their own small craft to the park.",https://www.nps.gov/dena/index.htm,13.0
DEVA,Death Valley National Park,"CA, NV",4740912.0,36.24,-116.82,79.0,7.0,"AUTUMN arrives in late October, with warm but pleasant temperatures and generally clear skies.
WINTER has cool days, chilly nights and rarely, rainstorms. With snow capping the high peaks and low angled winter light, this season is especially beautiful for exploring the valley.
SPRINGTIME is the most popular time to visit Death Valley. Besides warm and sunny days, the possibility of spring wildflowers is a big attraction.
SUMMER starts early in Death Valley. By May the valley is too hot for most visitors","The main road transecting Death Valley National Park from east to west is California Highway 190.
On the east in Nevada, U.S. Route 95 parallels the park from north to south with connecting highways at Scotty's Junction (State Route 267), Beatty (State Route 374), and Lathrop Wells (State Route 373).",https://www.nps.gov/deva/index.htm,14.0
DRTO,Dry Tortugas National Park,FL,64701.0,24.63,-82.87,1.0,1.0,"The climate in the Dry Tortugas is subtropical, which basically means that it has warm and tropical weather in the range of 60°F to 90°F. The two main seasons are the winter stormy season from December through March which is windier and sees rougher seas, and the summertime tropical storm season from June through November where there is a higher chance of isolated storms. During the summers it is hot and humid. During the winter the temperature is milder and drier.","Dry Tortugas National Park is one of the most remote parks in the National Park System. Located approximately 70 miles west of Key West it is accessible only by a daily concession ferry, private boats, charter boats, or seaplane.",https://www.nps.gov/drto/index.htm,9.0
EVER,Everglades National Park,FL,1508538.0,25.32,-80.93,24.0,2.0,The climate in Florida is known to be mild and sunny.The average annual temperatures for South Florida and the Keys range from 74° to 77°F (23° to 25°C). There are two seasons at the Everglades National Park: the wet season and the dry season. The wet season runs from Mid-May to November and the dry season runs from December to mid-May.,"Directions to Ernest Coe Visitor Center
40001 State Road 9336, Homestead, FL 33034

Visitors coming from the Miami area and points north should take the Florida Turnpike (Route 821) south until it ends merging with U.S. 1 at Florida City. Turn right at the first traffic light onto Palm Drive (State Road 9336/SW 344th St.) and follow the signs to the park.

Visitors driving north from the Florida Keys should turn left on Palm Drive in Florida City and follow the signs to the park.",https://www.nps.gov/ever/index.htm,13.0
GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898.0,67.78,-153.3,,,,,,
GLAC,Glacier National Park,MT,1013572.0,48.8,-114.0,132.0,13.0,"Glacier's weather is highly variable and can be extreme. Expect warm sunny summer days and in the winter the temperatures can fall well below freezing. Glacier's geography, straddling the Continental Divide, sets the stage for clashes of two very different climates. Warm, wet Pacific air moves in from the west, and cold dry Arctic air from the northeast. They meet at the Divide.","Glacier National Park is located in the northwest corner of Montana along the spine of the Rocky Mountains.
By Car you can access Glacier via Highway 2, which runs along the southern boundary of the park. You can reach the east side of the park via Highway 89.

The nearest airports are in Kalispell and Great Falls, Montana",https://www.nps.gov/glac/index.htm,17.0
GLBA,Glacier Bay National Park and Preserve,AK,3224840.0,58.5,-137.0,,1.0,"Summer temperatures average 50° to 60° F (10° to 15° C). Rain is the norm in lush southeast Alaska. It is best to be prepared to enjoy the park in any kind of weather, especially rain. Suggested clothing includes waterproof boots, rain gear, a hat, gloves, wool or pile layers or a warm coat. Good rain gear is essential here. April, May and June are usually the driest months of the year. September and October tend to be the wettest.","Glacier Bay National Park and Preserve lies west of Juneau, Alaska, and can only be reached by plane or boat. The only road in the area merely connects the small town of Gustavus and its airfield to park headquarters at Bartlett Cove (10 miles). Alaska Airlines provides daily jet service from Juneau to Gustavus  in the summer months. Year-round scheduled air service is also provided by a variety of small air taxis and charters. The Alaska Marine Highway ferries also provide regular service from Juneau.",https://www.nps.gov/glba/index.htm,14.0
GRBA,Great Basin National Park,NV,77180.0,38.98,-114.3,22.0,0.0,"There is almost an 8,000 ft (2,400 m) difference in elevation between Wheeler Peak and the valley floor. Weather conditions in the park vary with elevation. In late spring and early summer, days in the valley may be hot, yet the snow pack may not have melted in the higher elevations. The Great Basin is a desert, with low relative humidity and sharp drops in temperature at night. In the summer, fierce afternoon thunderstorms are common. It can snow any time of the year at high elevations.","From the East or West: From U.S. Highway 6 & 50, turn south on Nevada State Highway 487 and travel 5 miles to Baker, NV. In Baker turn west on Highway 488 and travel 5 miles to the park. From the South (Utah): Travel north on Utah State Highway 21 through Milford, UT and Garrison, UT, Highway 487. Turn west on Highway 488 in Baker and travel 5 miles to the park. From the South (Nevada): Travel north on U.S. Highway 93. No public transportation is available to, or in, Great Basin National Park.",https://www.nps.gov/grba/index.htm,11.0
GRCA,Grand Canyon National Park,AZ,1217403.0,36.06,-112.14,99.0,3.0,"This weather varies with cold winters and mild pleasant summers, moderate humidity, and considerable diurnal temperature changes at the higher elevations, with hot and drier summers at the bottom of the Grand Canyon along with cool damp winters. Summer thunderstorms and winter snowfall adds to the weather variety in this region.","South Rim: Open all year, is located 60 miles north of Williams, Arizona (via route 64 from Interstate 40) and 80 miles northwest of Flagstaff (via route 180). Grand Canyon lies entirely within the state of Arizona.

North Rim: Now closed for the winter - opens May 15, 2020, for the season. North Rim is located 30 miles south of Jacob Lake on Highway 67; the actual rim of the canyon is an additional 14 miles south. Jacob Lake, AZ is located in northern Arizona on Highway 89A, not far from the Utah border.",https://www.nps.gov/grca/index.htm,18.0
GRSA,Great Sand Dunes National Park and Preserve,CO,42984.0,37.73,-105.51,14.0,1.0,"Temperatures are relatively cool all year, thanks to the park and preserve's high elevation. Conditions are most often calm, but winds can arise, especially in spring and during storm fronts.  Daytime temperatures feel warmer here year round due to intense high-altitude sunlight, and a scorching mid-day summer sand surface. Plan to explore the dunes morning or evening during summer. Nights are cool in summer, and frigid in winter. Visit the Great Sand Dunes website for the most accurate weather forecasts.","To access the main park area, including the Dunes Parking Lot, Visitor Center, and Pinyon Flats Campground, take US 160 to CO 150 from the south, or CO 17 to Lane 6 to CO 150 from the west. The national park is at the north end of CO 150.",https://www.nps.gov/grsa/index.htm,19.0
GRSM,Great Smoky Mountains National Park,"TN, NC",521490.0,35.68,-83.53,293.0,12.0,"Elevations in the park range from approximately 875 feet to 6,643 feet and the topography can drastically affect local weather. Temperatures can vary 10-20 degrees Fahrenheit from mountain base to top, and clear skies lower down do not guarantee equally pleasant weather at higher elevations. Visit http://www.nps.gov/grsm/planyourvisit/weather.htm for seasonal weather information and links to local forecasts.","Great Smoky Mountains National Park straddles the borders of the states of Tennessee and North Carolina. The three main entrances to the park are in the Gatlinburg, TN; Townsend, TN; and Cherokee, NC.",https://www.nps.gov/grsm/index.htm,14.0
GRTE,Grand Teton National Park,WY,309995.0,43.73,-110.8,102.0,7.0,"Jackson Hole has long, cold winters; snow and frost are possible any month. 
mid-April, May & June - Mild days and cool nights alternate with rain and snow.
July & August - Warm days and cool nights prevail, with afternoon thundershowers common.
September, October & November - Sunny days and cold nights alternate with rain and occasional snowstorms.
December to mid-April - Between storms the days are sunny and nights are frigid. Snow blankets the mountains and valley.","Grand Teton National Park is located in northwestern Wyoming north of the town of Jackson, Wyoming and south of Yellowstone National Park.",https://www.nps.gov/grte/index.htm,16.0
GUMO,Guadalupe Mountains National Park,TX,86416.0,31.92,-104.87,24.0,2.0,"Weather in the Guadalupe Mountains can change in an instant. In the Spring and Summer, average temperatures vary with highs between 70F-80F+ with evening lows in the 40F-60F range. The Fall and Winter bring milder temperatures with highs in between 50F-60F with evening lows in the 30F-50F range.","Guadalupe Mountains National Park is located on the north side of US Hwy 62/180. 
If you are traveling east from El Paso, TX, we are 110 miles East of the city. Follow US Hwy 62/180 North to the Pine Springs Visitor Center. 
If you are traveling from Van Horn, TX, you will travel north on US 54 and make a left hand turn at the junction of US 62/180 to arrive at the park.
If you are traveling west from Carlsbad, NM, you will travel on US Hwy 62/180 South and cross into Texas. Follow signs to the park.",https://www.nps.gov/gumo/index.htm,6.0
HALE,Haleakala National Park,HI,29094.0,20.72,-156.17,14.0,4.0,"On any given day, the temperatures in the park can range from a high of 80°F (27°C) in Kīpahulu to a low of 30°F (-1°C) at the summit. In either area clouds and rain can quickly replace warm sunshine.
Weather in the high-elevation summit and wilderness areas of the park is highly unpredictable and changes often. Cool temperatures, intense solar radiation, and rapidly moving clouds are characteristic. On average, the temperature drops about 3°F for every 1,000 foot rise in elevation.","Located on the island of Maui, Haleakalā National Park extends from the 10,023 foot (3055m) summit of Haleakalā down the southeast flank of the mountain to the Kīpahulu coast near Hana. These two sections of the park are not directly connected by road, but both can be reached from Kahului.
There are no gas stations within the park. The last place to get gas in route to the Summit Area is in the town of Pukalani, and along the Hana Highway before Hana is in the town of is in the town of Paia.",https://www.nps.gov/hale/index.htm,5.0
HAVO,Hawaii Volcanoes National Park,HI,323431.0,19.38,-155.2,35.0,2.0,"The weather at Kīlauea's summit (4000' elevation) varies daily and may be rainy and chilly any time of the year. Temperature varies by elevation. At the summit of the volcano, temperatures may be 12 to 15 degrees cooler than at sea level. The coastal plain at the end of Chain of Craters Road, where lava crossed the road in 2003, is often hot, dry, and windy with the possibility of passing showers.","Hawai‘i Volcanoes National Park is located on the island of Hawai‘i. From Hilo: 30 miles southwest on Highway 11 (a 45 minute drive); from Kailua-Kona: 96 miles southeast on Highway 11 (2 to 2 1/2 hour drive), or 125 miles through Waimea and Hilo via highways 19 and 11 (2 1/2 to 3 hours).",https://www.nps.gov/havo/index.htm,8.0
HOSP,Hot Springs National Park,AR,5550.0,34.51,-93.05,16.0,1.0,"Temperatures range from >100°F (38°C) to <20°F (-7°C). 
Spring has the highest average rainfall. 
Summer temperatures frequently reach the triple-digit range and high humidity 
Fall begins fall colors and cooler temperatures. Frost starts to become more common.
Winter  temperatures often fall below 32 degrees F (0 C) and occasionally drop below 0 F (-18 C). Roads and bridges may be icy. 
Your visit can be more enjoyable by checking the forecast and coming prepared for hikes or walks in the park.","Hot Springs National Park is a 5,500 acre park in the city of Hot Springs.  Bathhouse Row, a quarter mile long collection of eight bathhouses along the east side of Central Avenue, is the most visited area within the national park. The Fordyce Bathhouse operates as a visitor center and a museum.",https://www.nps.gov/hosp/index.htm,4.0
ISRO,Isle Royale National Park,MI,571790.0,48.1,-88.55,4.0,36.0,"Isle Royale National Park is a remote island wilderness in the middle of Lake Superior.  Weather influences traveling to and from the island, as well as your trip once you arrive.  For the most up-to-date weather information, call (906) 482-0984 or email isro_parkinfo@nps.gov prior to your trip.","Isle Royale National Park headquarters is located in Houghton, MI.  Visit the Houghton page on the Isle Royale National Park website for additional information and a map on how to access the visitor center.",https://www.nps.gov/isro/index.htm,11.0
JOTR,Joshua Tree National Park,CA,789745.0,33.79,-115.9,108.0,9.0,"Days are typically clear with less than 25% humidity. Temperatures are most comfortable in the spring and fall, with an average highs around 85°F (29°C) and average lows around 50°F (10°C) respectively. Winter brings cooler days, around 60°F (15°C), and freezing nights. It occasionally snows at higher elevations. Summers are hot, over 100°F (38°C) during the day and not cooling much below 75°F (24°C) at night.","From I-10, take exit 117 for CA Hwy 62 toward 29 Palms/Yucca Valley. This will allow you to access the West Entrance, the North Entrance, Black Rock, and Indian Cove.

Take exit 168 off I-10 to come in at the park's South Entrance.",https://www.nps.gov/jotr/index.htm,11.0
KATM,Katmai National Park and Preserve,AK,3674530.0,58.5,-155.0,,1.0,"Located between the stormy north Pacific Ocean and the even stormier Bering Sea, the Katmai region is often a battleground between weather systems. When you visit, be prepared to encounter all types of weather.  On average, wet and cool conditions predominate in spring, summer, and fall. Winters are drier and colder.","Katmai National Park & Preserve is located on the northern Alaska Peninsula, northwest of Kodiak Island and southwest of Homer, Alaska. The park’s headquarters is in King Salmon, about 290 air miles southwest of Anchorage. Unlike most national parks in the United States, Katmai is almost exclusively accessed by plane or boat.",https://www.nps.gov/katm/index.htm,8.0
KEFJ,Kenai Fjords National Park,AK,669983.0,59.92,-149.65,2.0,1.0,"The weather  Kenai Fjords is difficult to predict and can change rapidly. The area generally enjoys a relatively temperate maritime climate, primarily due to the influence of the Japanese current that flows through the Gulf of Alaska.

Summer daytime temperatures range from the mid 40s to the low 70s (Fahrenheit). Overcast and cool rainy days are frequent. Winter temperatures can range from the low 30s to -20.","Kenai Fjords National Park is located just outside the town of Seward in south-central Alaska, 126 miles south of Anchorage. Even though the park is often inaccessible during the winter months, Seward is accessible year-round via the Seward Highway, a National Scenic Byway.

Follow the Seward Highway (AK-1) south from Anchorage. It will become AK-9 around mile 35 (87 miles from Anchorage) with AK-1 heading to Homer and Kenai. Continue on AK-9 to Seward.",https://www.nps.gov/kefj/index.htm,13.0
KOVA,Kobuk Valley National Park,AK,1750717.0,67.55,-159.28,,0.0,"Snow, rain, and freezing temperatures can occur any time of the year. Always travel with good quality rain gear and warm layers. Be especially careful to stay dry. Hypothermia can set in on a windy, wet day, even when it doesn't feel that cold.","Kobuk Valley National Park is very remote. There are no roads to provide access, so planes take care of most transportation needs.  Commercial airlines provide service from Anchorage to Kotzebue, or from Fairbanks to Bettles. Once in Kotzebue or Bettles, you must fly to the park with authorized air taxis.",https://www.nps.gov/kova/index.htm,9.0
LACL,Lake Clark National Park and Preserve,AK,2619733.0,60.97,-153.42,,0.0,"Lake Clark has two distinct climate areas: the coast and the interior. The coast is wetter and experiences milder temperatures. The interior gets half to one fourth as much precipitation, but temperatures are hotter in summer and colder in winter.  Frost and snow can occur any time parkwide, but are most common from September to early June. Lakes here typically begins freezing in November and melting in April. Ice conditions dictate whether planes need floats or skis to land on lakes.","Lake Clark is located on the Alaska Peninsula southwest of Anchorage and north of Katmai National Park. It is not on the road system; therefore, in order to get here you must travel either via plane or by boat. A one to two-hour flight from Anchorage, Kenai, or Homer will provide access to most points within Lake Clark. Fixed-wing aircraft are allowed to land on all suitable lakes, rivers, beaches, gravel bars, and open ground in both the park and preserve unless the area is closed or otherwise restricted.",https://www.nps.gov/lacl/index.htm,14.0
LAVO,Lassen Volcanic National Park,CA,106372.0,40.49,-121.51,59.0,2.0,"Weather at Lassen can vary dramatically throughout the year.

Average January temperatures are a high of 40.4 °F (4.7 °C) and a low of 20.8 °F (-6.2 °C). Average July temperatures are a high of 88.4 °F and a low of 49.8 °F. Temperatures reach 90 °F or higher on an average of 36.9 days, and drop to 32 ° or lower on an average of 164 days days annually.","From Interstate 5 (Redding), take Hwy 44 - 48 miles east to the junction of Hwy 89. Follow Hwy 89 south 1 mile to the north entrance of the park. From Interstate 5 (Red Bluff) take Hwy 36 E - 51 miles east to the junction of Hwy 89. Follow Hwy 89 north 6 miles to south entrance of the park.",https://www.nps.gov/lavo/index.htm,15.0
MACA,Mammoth Cave National Park,KY,52830.0,37.18,-86.1,28.0,18.0,"Kentucky has a moderate climate with warm, yet moist conditions. Summers average in the high 80s; winters average in the low 40s. Southern Kentucky, where Mammoth Cave is located, receives the highest average precipitation for the state, about 50 inches per year, mostly in spring. Winter can bring mild to moderate snow and ice. Storms happen year-round, and can include tornadoes and flooding in low-lying areas, but severe weather is infrequent. The temperature deep in the cave is a constant 54°F (12°C).","DO NOT FOLLOW YOUR GPS!

From the North: Take Interstate 65 to Exit 53 (Cave City Exit). Turn right onto KY-70. Follow 70/255 as it becomes the Mammoth Cave Parkway in the park. Follow the Mammoth Cave Parkway to the Visitor Center.

From the South: Take Interstate 65 to Exit 48 (Park City Exit). Turn left onto KY-255 and follow 255 as it becomes the Park City Road into the park. Follow Park City Road until it joins the Mammoth Cave Parkway; turn left. Follow the Mammoth Cave Parkway to the Visitor Center.",https://www.nps.gov/maca/index.htm,10.0
MEVE,Mesa Verde National Park,CO,52122.0,37.18,-108.49,17.0,0.0,"Spring: Temps range from 40 F to 70 F, but snowstorms can occur as late as May. 

Summer: Temps can reach well into the 90s F. Thunderstorms are common in July and August. Be prepared to bring and DRINK plenty of water.

Fall: Temps can range from 50 F to 75 F. Snowstorms can occur as early as October. 

Winter: Temps can range from the teens to low 30s F. Icy roads are common. Snow tires, all-wheel drive, or chains, may be required. Be prepared with water, snacks, and layers of warm clothing.","Mesa Verde National Park is in Southwestern Colorado. The park entrance is along Highway 160, between the towns of of Cortez and Mancos, Colorado. (10 miles east of Cortez; 9 miles west of Mancos; and about 35 miles west of Durango, Colorado.)

Once you enter the park, the first view of a cliff dwelling is 21 miles (approximately 45 minutes) along a steep, narrow, and winding road.",https://www.nps.gov/meve/index.htm,7.0
MORA,Mount Rainier National Park,WA,235625.0,46.85,-121.75,130.0,3.0,"Weather patterns at Mount Rainier are strongly influenced by the Pacific Ocean and elevation. The climate is generally cool and rainy, with summer highs in the 60s and 70s. While July and August are the sunniest months of the year, rain is very likely in spring, fall, and winter. Visitors should be aware that mountain weather is very changeable. In the higher elevations, like Paradise, winter can last from November to May with many feet of snow on the ground.","Mount Rainier National Park is located in west-central Washington state. Several major cities in Washington- Seattle, Tacoma, and Yakima- and Portland, Oregon, are within 200 miles of the park. For GPS to Nisqually Entrance use: 39000 State Route 706 E, Ashford, WA 98304.",https://www.nps.gov/mora/index.htm,13.0
